ts,prompt_id,run_id,model,temperature,raw_hash,canon_signature,oracle_pass,structural_ok,canonicalization_ok,contract_pass,notes,metrics_version
1756306742,csvjson_v2,5,gpt-4o-mini,0.0,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,7cc51ffc75c2e6d5117c307475b34ef0d2f2d345eb490a085e3010f8c73e4ada,0,1,1,0,,2025-08-26
1756306745,brackets_v1,1,gpt-4o-mini,0.0,195a98020a5125bb7e9af628575024c5a50938a1fceb3ac3f192013151e683c7,195a98020a5125bb7e9af628575024c5a50938a1fceb3ac3f192013151e683c7,1,1,1,1,,2025-08-26
1756306747,brackets_v1,2,gpt-4o-mini,0.0,195a98020a5125bb7e9af628575024c5a50938a1fceb3ac3f192013151e683c7,195a98020a5125bb7e9af628575024c5a50938a1fceb3ac3f192013151e683c7,1,1,1,1,,2025-08-26
1756306749,brackets_v1,3,gpt-4o-mini,0.0,195a98020a5125bb7e9af628575024c5a50938a1fceb3ac3f192013151e683c7,195a98020a5125bb7e9af628575024c5a50938a1fceb3ac3f192013151e683c7,1,1,1,1,,2025-08-26
1756306750,brackets_v1,4,gpt-4o-mini,0.0,195a98020a5125bb7e9af628575024c5a50938a1fceb3ac3f192013151e683c7,195a98020a5125bb7e9af628575024c5a50938a1fceb3ac3f192013151e683c7,1,1,1,1,,2025-08-26
1756306752,brackets_v1,5,gpt-4o-mini,0.0,195a98020a5125bb7e9af628575024c5a50938a1fceb3ac3f192013151e683c7,195a98020a5125bb7e9af628575024c5a50938a1fceb3ac3f192013151e683c7,1,1,1,1,,2025-08-26
1756306755,brackets_v2,1,gpt-4o-mini,0.0,27bbda1d94f2a42842e6871ffe50436715bfd99e506c24bcb365f5974497743f,c9848cf0c8207bc050b215dee9c3affd3365108cfd03b2dbb644d6721040c43d,1,1,1,1,,2025-08-26
1756306757,brackets_v2,2,gpt-4o-mini,0.0,27bbda1d94f2a42842e6871ffe50436715bfd99e506c24bcb365f5974497743f,c9848cf0c8207bc050b215dee9c3affd3365108cfd03b2dbb644d6721040c43d,1,1,1,1,,2025-08-26
1756306759,brackets_v2,3,gpt-4o-mini,0.0,27bbda1d94f2a42842e6871ffe50436715bfd99e506c24bcb365f5974497743f,c9848cf0c8207bc050b215dee9c3affd3365108cfd03b2dbb644d6721040c43d,1,1,1,1,,2025-08-26
1756306761,brackets_v2,4,gpt-4o-mini,0.0,27bbda1d94f2a42842e6871ffe50436715bfd99e506c24bcb365f5974497743f,c9848cf0c8207bc050b215dee9c3affd3365108cfd03b2dbb644d6721040c43d,1,1,1,1,,2025-08-26
1756306763,brackets_v2,5,gpt-4o-mini,0.0,73aab637c40154ecba2f530a52ca1fc79075a774e0d91652a2106657772e845f,e852979172a22901d30be836d3164187eed8d587c6cfbab77c7bc9fb88c0614d,1,1,1,1,,2025-08-26
